"","avg_type","id","pos","points","sd_pts","dropoff","floor","ceiling","points_vor","floor_vor","ceiling_vor","rank","floor_rank","ceiling_rank","pos_rank","tier","overall_ecr","pos_ecr","sd_ecr","adp","adp_sd","adp_diff","aav","aav_sd","uncertainty","first_name","last_name","team","position","age","exp","scoring_type"
"1","average","13589","QB",365.495238095238,13.2830929655016,34.9069523809524,354.320666666667,386.464666666667,63.2019047619048,71.7456666666666,66.134,34,30,36,1,1,25.86,1.02,0.15,18.6383333333333,8.12239787391767,15.3616666666667,36.076,12.9953871816118,0.02,"Josh","Allen","BUF","QB",30,2,"PPR"
"2","average","13593","QB",330.588285714286,18.600529398508,6.44142857142856,312.3174,353.352,28.2949523809523,29.7424,33.0213333333334,57,59,55,2,1,32.66,2.55,1.05,34.9633333333333,14.1390766632368,22.0366666666667,25.1335,16.3030980721457,0.2,"Lamar","Jackson","BAL","QB",29,2,"PPR"
"3","average","16581","QB",324.146857142857,14.8439620432975,3.14904761904762,307.248,343.878,21.8535238095238,24.673,23.5473333333333,65,64,62,3,1,51.25,5.11,1.91,55.6433333333333,24.7499068460649,9.35666666666668,12.4395,8.53445726159549,0.2,"Jayden","Daniels","WAS","QB",26,-4,"PPR"
"4","average","16580","QB",320.99780952381,9.62601257176334,1.48457142857137,313.384666666667,336.244,18.7044761904762,30.8096666666667,15.9133333333333,68,58,74,4,1,38.32,3.5,1.04,61.34,41.7824254920654,6.66,17.584,7.49684947161139,0.03,"Drake","Maye","NEP","QB",24,-4,"PPR"
"5","average","14783","QB",319.513238095238,13.3542990188821,5.43200000000002,305.918666666667,338.118666666667,17.2199047619048,23.3436666666667,17.788,69,66,70,5,2,58.29,6.08,1.59,49.945,18.7259158654524,19.055,16.895,9.12376429989289,0.11,"Jalen","Hurts","PHI","QB",28,0,"PPR"
"6","average","14777","QB",314.081238095238,17.9587829845375,3.78066666666666,298.441266666667,336.194,11.7879047619048,15.8662666666667,15.8633333333333,79,76,75,6,2,45.94,4.56,1.56,46.3,16.6416705892167,32.7,16.5045,12.4863862165961,0.22,"Joe","Burrow","CIN","QB",30,0,"PPR"
"7","average","17032","QB",310.300571428571,16.1005532705882,4.49723809523812,294.34,332.894,8.00723809523811,11.765,12.5633333333333,85,80,81,7,2,92.82,12.08,2.63,81.2575,25.5764661114471,3.74250000000001,11.244,8.90115378289055,0.33,"Jaxson","Dart","NYG","QB",23,-5,"PPR"
"8","average","16579","QB",305.803333333333,21.3620576412167,2.08999999999997,282.95,332.04,3.50999999999999,0.375000000000057,11.7093333333333,92,102,83,8,2,68.94,7.79,2.21,87.6516666666667,31.22311505742,4.34833333333334,10.0285,9.82901504475398,0.42,"Caleb","Williams","CHI","QB",25,-4,"PPR"
"9","average","14779","QB",303.713333333333,17.3935972894242,0.0749523809524248,284.325,324.845,1.42000000000002,1.75000000000006,4.51433333333335,96,97,92,9,2,69.53,7.82,1.98,93.44,32.1195885195727,2.56,12.983,16.3751319689339,0.27,"Justin","Herbert","LAC","QB",28,0,"PPR"
"10","average","12620","QB",303.638380952381,13.522544160454,0.0388571428571254,288.024666666667,320.330666666667,1.34504761904759,5.4496666666667,0,98,86,103,10,2,80.24,9.87,1.89,69.485,28.1247564433899,28.515,11.1385,9.61389134273942,0.18,"Dak","Prescott","DAL","QB",33,4,"PPR"
"11","average","15237","QB",303.599523809524,17.9028644954616,0.936190476190518,285.648666666667,328.814666666667,1.30619047619047,3.07366666666667,8.48399999999998,100,93,86,11,2,77.46,9.24,1.85,95.5233333333334,33.4129943119273,4.47666666666665,11.2135,12.446792629027,0.27,"Trevor","Lawrence","JAC","QB",27,-1,"PPR"
"12","average","16582","QB",302.663333333333,19.9954891579743,0.369999999999948,279.79,327.265,0.369999999999948,-2.78499999999997,6.93433333333337,101,111,89,12,2,101.56,13.75,2.17,99.3233333333333,30.4872774922407,1.67666666666668,6.739,6.79517203608562,0.38,"Bo","Nix","DEN","QB",26,-4,"PPR"
"13","average","13116","QB",302.293333333333,15.7078001854705,4.77000000000004,287.335,324.09,0,4.75999999999999,3.75933333333325,103,88,96,13,3,101.52,13.79,2.12,65.9966666666667,31.7551784053492,37.0033333333333,16.613,14.582969073546,0.24,"Patrick","Mahomes","KCC","QB",31,3,"PPR"
"14","average","9431","QB",297.523333333333,15.6053806959864,2.93866666666662,282.575,319.315,-4.77000000000004,0,-1.01566666666668,119,103,105,14,3,104.24,14.68,2.83,101.82,32.0330735334591,17.18,10.519,12.034279496505,0.33,"Matthew","Stafford","LAR","QB",38,11,"PPR"
"15","average","15698","QB",294.584666666667,11.2290522603943,0.978000000000009,281.454666666667,309.236,-7.70866666666666,-1.12033333333329,-11.0946666666667,124,106,134,15,3,94.99,12.04,1.95,85.5966666666667,26.054511232329,38.4033333333333,7.8485,8.32885446805262,0.1,"Brock","Purdy","SFO","QB",27,-2,"PPR"
"16","average","12611","QB",293.606666666667,18.614435974981,6.86333333333334,272.115,316.335,-8.68666666666667,-10.46,-3.99566666666664,128,136,113,16,3,108.19,15.87,2.6,100.738333333333,19.5110920732,27.2616666666667,6.636,8.12928828373062,0.39,"Jared","Goff","DET","QB",32,4,"PPR"
"17","average","13590","QB",286.743333333333,21.6729007441705,1.27000000000004,259.13,307.495,-15.55,-23.445,-12.8356666666667,148,169,143,17,3,118.04,18.33,2.15,106.758333333333,31.1385706247984,41.2416666666667,6.9195,9.418681476194,0.43,"Baker","Mayfield","TBB","QB",31,2,"PPR"
"18","average","17039","QB",285.473333333333,16.2375646778286,15.2566666666667,263.465,303.11,-16.82,-19.11,-17.2206666666667,154,159,153,18,4,121.72,19.07,2.4,117.7225,30.1636091797716,36.2775,4.87666666666667,5.04834186199346,0.3,"Tyler","Shough","NOS","QB",27,-5,"PPR"
"19","average","14782","QB",270.216666666667,14.8978302670781,2.23999999999995,258.23,292.08,-32.0766666666667,-24.345,-28.2506666666667,194,172,188,19,4,119.44,18.45,2.26,118.653333333333,37.836098577358,75.3466666666666,5.281,5.76139592460022,0.22,"Jordan","Love","GBP","QB",28,0,"PPR"
"20","average","15694","QB",267.976666666667,20.2800529256377,3.15333333333336,242.865,290.645,-34.3166666666667,-39.71,-29.6856666666667,201,204,192,20,5,131.96,20.63,2.81,144.465,27.5285247516099,56.535,5.86666666666667,7.31816613336672,0.48,"Malik","Willis","MIA","QB",27,-2,"PPR"
